# generated by ews.pipeline on 2026-05-12T02:21:30, loader=drawdown
ticker,date,label_a,forward_max_drawdown,label_b
AAL,2009-06-30,0,-0.3489361228156231,
AAL,2009-07-31,0,-0.3489361228156231,
AAL,2009-08-31,0,-0.3489361228156231,
AAL,2009-09-30,0,-0.3489361228156231,
AAL,2009-10-31,0,-0.16682044182823624,
AAL,2009-11-30,0,-0.16682044182823624,
AAL,2009-12-31,0,-0.16682044182823624,
AAL,2010-01-31,0,-0.16682044182823624,
AAL,2010-02-28,0,-0.2697201334381254,
AAL,2010-03-31,0,-0.2697201334381254,
AAL,2010-04-30,0,-0.2697201334381254,
AAL,2010-05-31,0,-0.2697201334381254,
AAL,2010-06-30,0,-0.2697201334381254,
AAL,2010-07-31,1,-0.47073790802790955,
AAL,2010-08-31,1,-0.5258693813042479,
AAL,2010-09-30,1,-0.533502991032052,
AAL,2010-10-31,1,-0.533502991032052,
AAL,2010-11-30,1,-0.5770610175086927,
AAL,2010-12-31,1,-0.5284715061093997,
AAL,2011-01-31,1,-0.5241936824355089,
AAL,2011-02-28,1,-0.4813189240481071,
AAL,2011-03-31,1,-0.4813189240481071,
AAL,2011-04-30,1,-0.4813189240481071,
AAL,2011-05-31,1,-0.4813189240481071,
AAL,2011-06-30,1,-0.4702581388998797,
AAL,2011-07-31,0,-0.24358985582312617,
AAL,2011-08-31,0,-0.200299912310558,
AAL,2011-09-30,0,-0.2153037997113951,
AAL,2011-10-31,0,-0.2153037997113951,
AAL,2011-11-30,0,-0.2153037997113951,
AAL,2011-12-31,0,-0.2153037997113951,
AAL,2012-01-31,0,-0.2153037997113951,
AAL,2012-02-29,0,-0.2153037997113951,
AAL,2012-03-31,0,-0.2153037997113951,
AAL,2012-04-30,0,-0.2153037997113951,
AAL,2012-05-31,0,-0.2153037997113951,
AAL,2012-06-30,0,-0.2153037997113951,
AAL,2012-07-31,0,-0.0872599509454901,
AAL,2012-08-31,0,-0.1648578337752294,
AAL,2012-09-30,0,-0.1648578337752294,
AAL,2012-10-31,0,-0.1648578337752294,
AAL,2012-11-30,0,-0.1648578337752294,
AAL,2012-12-31,0,-0.1648578337752294,
AAL,2013-01-31,0,-0.1648578337752294,
AAL,2013-02-28,0,-0.1648578337752294,
AAL,2013-03-31,0,-0.1648578337752294,
AAL,2013-04-30,0,-0.1648578337752294,
AAL,2013-05-31,0,-0.1648578337752294,
AAL,2013-06-30,0,-0.1648578337752294,
AAL,2013-07-31,0,-0.1648578337752294,
AAL,2013-08-31,0,-0.093378383609722,
AAL,2013-09-30,0,-0.17202174009894997,
AAL,2013-10-31,0,-0.17202174009894997,
AAL,2013-11-30,0,-0.17202174009894997,
AAL,2013-12-31,0,-0.17202174009894997,
AAL,2014-01-31,0,-0.17202174009894997,
AAL,2014-02-28,0,-0.17202174009894997,
AAL,2014-03-31,0,-0.17202174009894997,
AAL,2014-04-30,0,-0.17202174009894997,
AAL,2014-05-31,0,-0.2067338265639307,
AAL,2014-06-30,0,-0.25222902289188437,
AAL,2014-07-31,0,-0.25222902289188437,
AAL,2014-08-31,0,-0.2684996569636823,
AAL,2014-09-30,0,-0.27131473933106004,
AAL,2014-10-31,0,-0.27131473933106004,
AAL,2014-11-30,0,-0.27131473933106004,
AAL,2014-12-31,0,-0.27131473933106004,
AAL,2015-01-31,0,-0.26107645153130143,
AAL,2015-02-28,0,-0.26107645153130143,
AAL,2015-03-31,0,-0.26107645153130143,
AAL,2015-04-30,0,-0.2764341702036888,
AAL,2015-05-31,0,-0.3042238483305213,
AAL,2015-06-30,0,-0.3827193623384387,
AAL,2015-07-31,0,-0.3827193623384387,
AAL,2015-08-31,0,-0.3827193623384387,
AAL,2015-09-30,0,-0.3827193623384387,
AAL,2015-10-31,0,-0.3827193623384387,
AAL,2015-11-30,0,-0.32776120649417545,
AAL,2015-12-31,0,-0.32776120649417545,
AAL,2016-01-31,0,-0.3076847921459353,
AAL,2016-02-29,0,-0.3076847921459353,
AAL,2016-03-31,0,-0.3076847921459353,
AAL,2016-04-30,0,-0.1815552704760094,
AAL,2016-05-31,0,-0.11281719532865774,
AAL,2016-06-30,0,-0.09200928316084034,
AAL,2016-07-31,0,-0.09200928316084034,
AAL,2016-08-31,0,-0.11120621036944699,
AAL,2016-09-30,0,-0.11120621036944699,
AAL,2016-10-31,0,-0.11120621036944699,
AAL,2016-11-30,0,-0.11120621036944699,
AAL,2016-12-31,0,-0.11120621036944699,
AAL,2017-01-31,0,-0.11120621036944699,
AAL,2017-02-28,0,-0.11120621036944699,
AAL,2017-03-31,0,-0.11120621036944699,
AAL,2017-04-30,0,-0.20866352988344783,
AAL,2017-05-31,0,-0.20866352988344783,
AAL,2017-06-30,0,-0.29864020562673915,
AAL,2017-07-31,0,-0.29864020562673915,
AAL,2017-08-31,0,-0.29864020562673915,
AAL,2017-09-30,0,-0.29864020562673915,
AAL,2017-10-31,0,-0.3501604442726536,
AAL,2017-11-30,0,-0.3501604442726536,
AAL,2017-12-31,1,-0.4035363913705435,
AAL,2018-01-31,1,-0.4035363913705435,
AAL,2018-02-28,1,-0.4035363913705435,
AAL,2018-03-31,0,-0.38235754703938163,
AAL,2018-04-30,0,-0.26463428038670767,
AAL,2018-05-31,0,-0.36770165670490723,
AAL,2018-06-30,0,-0.33562509287421954,
AAL,2018-07-31,0,-0.33562509287421954,
AAL,2018-08-31,0,-0.35581383209845896,
AAL,2018-09-30,0,-0.35581383209845896,
AAL,2018-10-31,0,-0.33887122027524824,
AAL,2018-11-30,0,-0.33887122027524824,
AAL,2018-12-31,0,-0.2577318196699301,
AAL,2019-01-31,0,-0.2577318196699301,
AAL,2019-02-28,1,-0.4581699238614755,
AAL,2019-03-31,1,-0.6385771565638664,
AAL,2019-04-30,1,-0.6439139801631887,
AAL,2019-05-31,1,-0.6746349721729892,
AAL,2019-06-30,1,-0.6746349721729892,
AAL,2019-07-31,1,-0.6522401166345556,
AAL,2019-08-31,1,-0.6482713041238141,
AAL,2019-09-30,1,-0.6482713041238141,
AAL,2019-10-31,1,-0.6482713041238141,
AAL,2019-11-30,1,-0.6333053967218645,
AAL,2019-12-31,1,-0.6325382644147001,
AAL,2020-01-31,1,-0.6073471483291927,
AAL,2020-02-29,1,-0.44881887556336875,
AAL,2020-03-31,0,-0.14919662240216786,
AAL,2020-04-30,0,-0.14919662240216786,
AAL,2020-05-31,0,-0.14919662240216786,
AAL,2020-06-30,0,-0.14919662240216786,
AAL,2020-07-31,0,-0.15924095077553316,
AAL,2020-08-31,0,-0.17739270947452623,
AAL,2020-09-30,0,-0.17739270947452623,
AAL,2020-10-31,0,-0.20792075312574235,
AAL,2020-11-30,0,-0.27021449252919705,
AAL,2020-12-31,0,-0.27021449252919705,
AAL,2021-01-31,0,-0.3205445763667699,
AAL,2021-02-28,0,-0.3205445763667699,
AAL,2021-03-31,0,-0.3205445763667699,
AAL,2021-04-30,0,-0.3205445763667699,
AAL,2021-05-31,0,-0.3205445763667699,
AAL,2021-06-30,1,-0.40216874811378417,
AAL,2021-07-31,0,-0.3820662757159762,
AAL,2021-08-31,0,-0.3820662757159762,
AAL,2021-09-30,1,-0.41325537557199543,
AAL,2021-10-31,0,-0.37291669357153995,
AAL,2021-11-30,0,-0.35855089673836277,
AAL,2021-12-31,0,-0.35855089673836277,
AAL,2022-01-31,0,-0.35855089673836277,
AAL,2022-02-28,0,-0.35855089673836277,
AAL,2022-03-31,0,-0.35855089673836277,
AAL,2022-04-30,0,-0.35855089673836277,
AAL,2022-05-31,0,-0.32624513730187776,
AAL,2022-06-30,0,-0.1548946183931757,
AAL,2022-07-31,0,-0.1548946183931757,
AAL,2022-08-31,0,-0.17892981584517603,
AAL,2022-09-30,0,-0.28595317512404944,
AAL,2022-10-31,0,-0.37848387477119005,
AAL,2022-11-30,0,-0.37848387477119005,
AAL,2022-12-31,0,-0.37848387477119005,
AAL,2023-01-31,0,-0.37848387477119005,
AAL,2023-02-28,0,-0.37848387477119005,
AAL,2023-03-31,0,-0.37848387477119005,
AAL,2023-04-30,0,-0.37848387477119005,
AAL,2023-05-31,0,-0.37848387477119005,
AAL,2023-06-30,0,-0.37848387477119005,
AAL,2023-07-31,0,-0.36477609890610424,
AAL,2023-08-31,0,-0.32270410211321565,
AAL,2023-09-30,0,-0.32270410211321565,
AAL,2023-10-31,0,-0.32270410211321565,
AAL,2023-11-30,0,-0.32270410211321565,
AAL,2023-12-31,0,-0.32270410211321565,
AAL,2024-01-31,0,-0.32270410211321565,
AAL,2024-02-29,0,-0.32270410211321565,
AAL,2024-03-31,0,-0.39472174377403335,
AAL,2024-04-30,1,-0.4291451729745227,
AAL,2024-05-31,1,-0.4291451729745227,
AAL,2024-06-30,1,-0.4291451729745227,
AAL,2024-07-31,1,-0.4291451729745227,
AAL,2024-08-31,1,-0.4291451729745227,
AAL,2024-09-30,1,-0.4291451729745227,
AAL,2024-10-31,1,-0.4291451729745227,
AAL,2024-11-30,1,-0.4291451729745227,
AAL,2024-12-31,1,-0.4291451729745227,
BBBY,2009-06-30,0,-0.19688890245225693,
BBBY,2009-07-31,0,-0.19688890245225693,
BBBY,2009-08-31,0,-0.3773333231608073,
BBBY,2009-09-30,0,-0.3773333231608073,
BBBY,2009-10-31,1,-0.404000006781684,
